number,step,surface,valid_time,t2m
0,0 days,0.0,2007-01-03 20:00:00,273.8661
0,0 days,0.0,2007-01-03 21:00:00,274.0058
0,0 days,0.0,2007-01-03 21:00:00,273.89862
0,0 days,0.0,2007-01-03 22:00:00,273.4617
0,0 days,0.0,2007-01-03 22:00:00,273.35397
0,0 days,0.0,2007-01-03 23:00:00,273.45334
0,0 days,0.0,2007-01-03 23:00:00,273.34616
0,0 days,0.0,2007-01-04 00:00:00,273.43753
0,0 days,0.0,2007-01-04 00:00:00,273.3334
0,0 days,0.0,2007-01-04 01:00:00,273.43857
0,0 days,0.0,2007-01-04 01:00:00,273.3353
0,0 days,0.0,2007-01-04 02:00:00,273.46732
0,0 days,0.0,2007-01-04 02:00:00,273.38843
0,0 days,0.0,2007-01-04 03:00:00,273.68433
0,0 days,0.0,2007-01-04 03:00:00,273.62473
0,0 days,0.0,2007-01-04 04:00:00,273.83264
0,0 days,0.0,2007-01-04 04:00:00,273.77805
0,0 days,0.0,2007-01-04 05:00:00,273.9234
0,0 days,0.0,2007-01-04 05:00:00,273.8456
0,0 days,0.0,2007-01-04 06:00:00,274.00775
0,0 days,0.0,2007-01-04 06:00:00,273.92407
0,0 days,0.0,2007-01-04 07:00:00,274.1896
0,0 days,0.0,2007-01-04 07:00:00,274.13306
0,0 days,0.0,2007-01-04 08:00:00,274.35223
0,0 days,0.0,2007-01-04 08:00:00,274.26965
0,0 days,0.0,2007-01-04 09:00:00,274.45544
0,0 days,0.0,2007-01-04 09:00:00,274.3597
0,0 days,0.0,2007-01-04 10:00:00,274.51593
0,0 days,0.0,2007-01-04 10:00:00,274.45544
0,0 days,0.0,2007-01-04 11:00:00,274.4338
0,0 days,0.0,2007-01-04 11:00:00,274.38705
0,0 days,0.0,2007-01-04 12:00:00,274.36813
0,0 days,0.0,2007-01-04 12:00:00,274.35074
0,0 days,0.0,2007-01-04 13:00:00,274.23633
0,0 days,0.0,2007-01-04 13:00:00,274.24692
0,0 days,0.0,2007-01-04 14:00:00,274.13324
0,0 days,0.0,2007-01-04 14:00:00,274.1388
0,0 days,0.0,2007-01-04 15:00:00,274.14255
0,0 days,0.0,2007-01-04 15:00:00,274.1039
